1;0;0;4;ИПИ, ты говорил, что видимых ориентиров нет. А это, по твоему, что?
0;6;8;5;Сэр, объект не отображается на радаре... Возможно, искажение волн, из-за Вечности.
1;0;0;0;Допустим.
1;0;0;1;И как мне на это реагировать? 
0;6;8;1;Пытаюсь провести анализ, Сэр...
1;0;0;7;Нет, подожди... 6 миллионов километров в Бездне, когда само пространство уже пытается разобрать мой корабль на запчасти,
1;0;0;1;Света галактик уже не видно...
1;0;0;6;И тут - огромное, ебучее, что-то кольцеобразное в готическом стиле, висит, судя по всему, неподвижно...
1;0;0;5;Когда меня тянет дальше, вглубину? Нет, ну ты понимаешь, что у меня сейчас в голове?
0;6;8;2;На Вашем месте, я бы не приближался.
1;0;0;6;Мы в аду, а это - дьявол? Или это космический корабль другой расы? Или новые технологии человечества?
1;0;0;3;Ты ведь сказал, что ни координаты, ни время неизвестны?
0;6;8;5;Не удалось определить материал этого сооружения, однако он - необычайно прочный.
1;0;0;4;Само собой, раз этой штуковине всё равно на отрицательное давление...
1;0;0;1;А ещё знаешь что, ИПИ...
0;6;8;0;Что, Сэр?
1;0;0;1;Если так посмотреть...
1;0;0;1;Эта штука... похожа на часы...
1;0;0;4;<color=#ff0066>И показывает такое же время, что и у меня.</color>
