0;25;20;6;*СТФФ*ЩЕФ*РХК*ТМЭЬГД*УМЦ*МФ**Х**МТЦЭФЗЬ***РЮРФС*ЙЧЕТМ*Л***РЕЭ**Б*ЧЙМРГШССЭ***ПГЗ*ТА*ЕЫК***МЗЬТРА*Ш*ХС*ТЙЕ*ДП*
0;25;20;5;ПР*В***ЙТЯ**ЙДРТ*КЬОЮ*ЕУММС*РДИ*Ц***СФ*МЩГНГЬ**Ы*ЫПЦЮРЗ***ЧЖЛЧЖЙ*С*РНЕ***ДКУМ
0;25;20;7;**ЦМСНЬРБ*ЙБ***УРРКМАЗ**ЙХ*ОЬ**Ж*Т***ЩМХЬ**С*ЬЯБ**ЙЖХ*А*Ю*УИЫФ****МТЕНЬТ***ЕКЫЦЬК*НЖБЖГКАЙШЧВ*ЙЗЩЛТЮЕУ*ЬССЭЙ*ДВВН
1;0;0;1;ИПИ, зачем нам слушать шум?
0;6;8;3;Декодер идентифицировал этот шум, как "сообщение".
1;0;0;1;Я так понимаю, редкая ошибка?
0;6;8;3;Вероятность стремиться к нулю, но нулю не равна.
1;0;0;3;Обожаю эту фразу. Особенно, рядом с Вечностью.
1;0;0;3;Здесь постоянно происходит что-то экстраординарное.
0;25;20;6;**ГББГБ*И*ЕИБ***Е*ЕГБ*Е*БЕБГИ****ЕГБ*ЕИ**И*ЕГГЕЕ*ГИ**ГБ*Б**БГ**ГГ***И**Е*ЕГИИББИГ**ИБИИБ**Г*Е
0;25;20;4;ИБЕБЕЕ*Е*И**ЕГИ**БГ*И*Е*И**ЕИГБ*Г*Е*Г*ГГИ****И*ИЕ*ГЕЕЕ**Г*БГ*Е**ЕБ*
0;25;20;0;
0;25;20;0;
1;0;0;0;Дважды?
