1;0;0;3;Забавно осознавать тот факт, что прошло 1800 лет.
1;0;0;5;Два месяца назад, я наблюдал за этой туманностью через телескоп, из Нуклеуса.
1;0;0;3;А теперь я здесь - сквозь пространство и время.
1;0;0;6;Заметно, что она поднабрала в объёме. По тогдашним прогнозам - должна рассеятся через 40 тысяч лет.
0;6;8;5;Сэр, Ваши прогнозы неактуальны. Коэффициент скорости рассеивания Космоса увеличился.
0;6;8;5;Актуальный прогноз: полное рассеивание в инфракрасном спектре - через 23 400 лет.
1;0;0;3;Поверить не могу... Как будто ход времени ускоряется! 
1;0;0;7;Такими темпами, нашей Вселенной недолго остаётся. Интересно - испытывают ли простые люди эксизстенциальный ужас?
0;6;8;6;Усредняя данные опросов ведущих фракций: 48.67% населения, регулярно испытывают беспокойство на этот счёт.
0;6;8;4;21% населения фракции KRAFTAN, 39% ФОМ и 83% населения Total Engine.
1;0;0;4;Оу, вот это разница. Явно указывает на идеологические различия фракций.
1;0;0;3;Хотел бы я, просто пообщаться с простыми людьми...
1;0;0;5;Кстати, о птичках: пока не вижу отрядов Федерации Млекомеды. Мы ещё в транзитной зоне?
0;6;8;7;Да, Сэр. Млекомеда не так хорошо освоена, как Нуклеус. Здесь - транзитные зоны простираются на сотни астрономических единиц.
1;0;0;1;Понятно. Ладно - буду на чеку.
