0;7;9;7;Итак, Таро: все современные модели кораблей Space Ocean оборудованы "специальным снаряжением", сокращённо - "Спец".
0;7;9;7;Если главное оружие имеет максимально оптимизированный расход энергии, то вот спец - способен устроить энергетический кризис.
1;15;0;4;Это вот эта здоровая, красивая кнопка с подписью в мегаваттах?
0;7;9;6;Да. Используй её с умом, когда ситуация этого требует, ибо зарядка ядра происходит неспешно.
0;7;9;6;В то же время - ядро сохраняет энергию на протяжении всей миссии, поэтому можешь откладывать спец на потом.
1;15;0;1;Что делает спец на этом корабле?
0;7;9;5;У каждого корабля есть 2 специального снаряжения на выбор, но второй - придётся открыть.
0;7;9;6;Условия сможешь посмотреть на базе, а так - запускает "приманку", которая отвлекает на себя врагов.
1;15;0;5;Хах, как собак на косточку? Да быть такого не может, против пилотируемых кораблей.
0;7;9;3;Сам увидишь. А теперь - развлекайся, пока можешь.
1;15;0;0;Мда уж.
