0;13;10;2;Капитан Спецотряда ФОМ, псевдоним "Полимер"
0;13;10;6;Вы задержаны за особо-жестокосердное вооружённое нападение на мирных граждан, близ объекта МП-а "Альфа".
1;0;0;3;А ведь нормально разговаривать он умеет, гнилой ублюдок.
0;13;10;3;Это последний шанс сдаться. У вас есть 10 секунд на ответ.
1;0;0;4;Даже как-то неловко стало. Я всегда был законопослушным гражданином.
0;6;8;3;Таро, он моральный урод. Подготовься к сражению.
0;13;10;4;Зафиксирована негативная реакция, объект будет устранён любыми методами.
0;13;10;3;Тебе пизда, сосунок. Ты ещё мельче, чем мы думали.
1;0;0;3;Давайте уже быстрее, хватит там вдвоём обжиматься.
0;13;10;1;Завали ебало. Ты труп.
1;0;0;2;ИПИ, есть какой-нибудь бодрый музончик?
0;6;8;0;Сейчас поищем, Сэр.
