0;26;0;1;к  т                 о   -              н                                        иб        д          ь                     , п    о  м  г                      и      е
1;0;0;0;Очень слабый сигнал.
0;26;0;2;м                  ек  к   а                    а      с -         15,      6  п                     л    а           н         т   а,         р         у х  н                    у  л         и
0;26;0;0;хо  л    о д  н    о
1;0;0;0;Приём, Меккарас-15
0;6;8;3;Сэр, это блуждающий сигнал. Его источника уже давно нет.
1;0;0;4;Знаю, ведь Меккарас-15 унесло в Вечность за 20 лет до моего рождения.
0;26;0;0;х   о ло   д н  о
1;2;0;0;жуть.
1;2;0;3;Даже не хочется представлять, что там случилось...
